pre,post,weight
300972942,940084011,1
300972942,1420651734,1
300972942,512765910,1
300972942,394427392,1
300972942,487143497,9
300972942,798869986,1
300972942,5812983268,1
300972942,798192162,1
300972942,328533761,4
300972942,517854468,8
300972942,331662710,4
300972942,294436967,1
300972942,423774471,12
300972942,423382015,4
300972942,1359212271,1
300972942,424789697,16
300972942,422725634,32
300972942,5813054343,1
300972942,692110379,1
300972942,891629070,1
300972942,733036127,19
300972942,1234386037,31
300972942,455431209,1
300972942,5813068729,41
299613480,1390618359,1
299613480,829231457,1
299613480,426139965,1
299613480,5813021404,2
299613480,5813077616,1
299613480,5812980438,1
299613480,848666776,1
299613480,756585129,1
299613480,332007728,1
299613480,1233703950,1
299613480,612668833,1
299613480,488188560,1
299613480,766820559,1
299613480,519223027,1
299613480,331999156,1
299613480,5812982012,1
299613480,582148591,1
299613480,5812982802,2
299613480,300968622,1
299613480,815926332,1
299613480,630373425,1
299613480,5813082847,1
299613480,328546871,2
299613480,940425171,1
299613480,5813088058,1
299613480,5812980428,1
299613480,5812982514,1
299613480,393387426,2
299613480,425431837,1
299613480,550271272,1
299613480,5813021301,1
299613480,1141678665,1
299613480,5812980618,1
299613480,848330091,1
299613480,519905418,1
299613480,455793743,1
299613480,332340127,1
299613480,1170606692,2
299613480,5813055914,1
299613480,5812981618,1
299613480,394060620,1
299613480,332008063,1
299613480,5813020274,1
299613480,603422422,1
299613480,953029783,1
299613480,5813035558,1
299613480,394764082,1
299613480,5812981379,1
299613480,631059587,1
299613480,5812982761,1
299613480,5812983213,1
299613480,5813021304,1
299613480,5812983268,1
299613480,908353540,1
299613480,909026561,1
299613480,333035349,2
299613480,612669205,1
299613480,5813067869,1
299613480,455793827,1
299613480,1109223365,1
299613480,940084060,1
299613480,1421666260,1
299613480,551113395,2
299613480,5812982372,1
299613480,705432638,1
299613480,5812982466,2
299613480,5812980395,2
299613480,332353106,1
299613480,755177787,1
299613480,5812980376,1
299613480,954053261,1
299613480,878337317,1
299613480,5901198074,1
299613480,5813064793,1
299613480,5813081797,2
299613480,455431209,3
299613480,984405805,1
299613480,611646132,1
299613480,332353336,2
299613480,363029976,2
299613480,363729312,1
299613480,329435390,1
299613480,5812980806,1
299613480,394755376,1
299613480,5812983006,1
299613480,359586213,3
299613480,877987901,1
299613480,549916869,2
299613480,5812980599,1
299613480,1231299343,1
299613480,1016114585,1
299613480,798869986,1
299613480,5812981673,1
299613480,5813068743,1
299613480,424754530,2
299613480,578694777,1
299613480,5813063229,1
299613480,5812980426,1
299613480,5813052909,1
299613480,1359212271,1
299613480,1359553384,1
299613480,426818061,5
299613480,5812981607,1
299613480,5812981971,2
299613480,723853340,1
299613480,5813098738,1
299613480,1328522741,1
299613480,880055173,2
299613480,488533722,1
299613480,5812982760,1
299613480,5812981970,1
299613480,331662668,1
299613480,331662717,2
299613480,328253133,1
299613480,5813021303,3
